iter	Logloss
143	0.3530333417
144	0.3525157437
145	0.3523389255
146	0.3523013117
147	0.3519988923
148	0.351846453
149	0.3516175147
150	0.3513867674
151	0.3511664881
152	0.3510126199
153	0.3507523973
154	0.3503679637
155	0.3502271
156	0.3500156001
157	0.3496549113
158	0.3494302447
159	0.3494297893
160	0.3493126209
161	0.3490424438
162	0.3486035761
163	0.3482054917
164	0.3481092774
165	0.3481045416
166	0.3478034465
167	0.347659574
168	0.3473144107
169	0.347052685
170	0.3469554926
171	0.3466104031
172	0.3465979345
173	0.3462469464
174	0.3460526172
175	0.3460447863
176	0.3458863617
177	0.3457752522
178	0.3455732992
179	0.3451849963
180	0.3447920809
181	0.3446379748
182	0.3445081246
183	0.3445077131
184	0.3443201864
185	0.3443190922
186	0.3442528366
187	0.3442518862
188	0.3442122949
189	0.3437922657
190	0.3435838224
191	0.3431282266
192	0.342893111
193	0.3425908368
194	0.3423643251
195	0.3419846519
196	0.341626047
197	0.3414783537
198	0.3411923229
199	0.3411919643
200	0.3409493636
201	0.3406014538
202	0.340345396
203	0.3402020379
204	0.3399274982
205	0.3397274377
206	0.3396266357
207	0.3393261933
208	0.3391089425
209	0.3387656312
210	0.3385216619
211	0.3381297618
212	0.3379962098
213	0.337892729
214	0.3377761196
215	0.3371592913
216	0.3370718438
217	0.3368324549
218	0.336572146
219	0.3362530768
220	0.3359174405
221	0.3356415381
222	0.3350218304
223	0.3346617697
224	0.3341777543
225	0.3340746078
226	0.3336501455
227	0.3336027456
228	0.3334868976
229	0.3334098876
230	0.3331820892
231	0.3327233034
232	0.3325381127
233	0.3321530581
234	0.3320828606
235	0.3319041422
236	0.3316870724
237	0.331372661
238	0.3311915192
239	0.3308231481
240	0.3305807944
241	0.3303429282
242	0.3301318639
243	0.3299150255
244	0.3297158755
245	0.3295112462
246	0.3292730406
247	0.3288093797
248	0.3285095948
249	0.3283463042
250	0.3281420769
251	0.327966926
252	0.3274847629
253	0.3274423949
254	0.3271591201
255	0.3268358158
256	0.326511409
257	0.3261943519
258	0.3259134565
259	0.3256043244
260	0.325201201
261	0.3249334507
262	0.3245022831
263	0.3242764273
264	0.324196465
265	0.3235297963
266	0.3232487014
267	0.3227855452
268	0.3222644085
269	0.3221665008
270	0.3219924833
271	0.3217385592
272	0.3213256419
273	0.3208298553
274	0.3207322978
275	0.320498632
276	0.3201972413
277	0.3198210319
278	0.3191900582
279	0.31869638
280	0.3183851627
281	0.3180296924
282	0.3177139541
283	0.3173738384
284	0.3168660362
285	0.3166001656
286	0.3164293197
287	0.3160717692
288	0.3157063802
289	0.3154586782
290	0.3154130956
291	0.3152060979
292	0.3149575159
293	0.3147399584
294	0.314566746
295	0.3141446098
296	0.3139541563
297	0.313892766
298	0.3134767524
299	0.3133743792
300	0.3132108501
301	0.3129584497
302	0.3127218736
303	0.3123838578
304	0.3119538362
305	0.3114538646
306	0.3111293847
307	0.3110461335
308	0.3109143755
309	0.3105694628
310	0.3104025549
311	0.310255196
312	0.3099594031
313	0.3097565859
314	0.3095675395
315	0.3092589633
316	0.3089075091
317	0.3085501238
318	0.3083167334
319	0.3079562463
320	0.3076429892
321	0.307300563
322	0.3067765844
323	0.3064011879
324	0.3060351864
325	0.3058441594
326	0.3056655517
327	0.3055014611
328	0.3051426046
329	0.3047996141
330	0.30466811
331	0.3044933198
332	0.3041879829
333	0.3040655465
334	0.3038426545
335	0.3034147069
336	0.3033191864
337	0.3031387021
338	0.3028414249
339	0.3024888064
340	0.3020665691
341	0.301750394
342	0.301373356
343	0.3009767213
344	0.3005926003
345	0.3002789267
346	0.3000303054
347	0.2998046917
348	0.2996722126
349	0.2991970404
350	0.2989441291
351	0.2983161908
352	0.297954122
353	0.2974711406
354	0.2973507529
355	0.2970741697
356	0.2967690512
357	0.2965431434
358	0.2963343395
359	0.295975484
360	0.2956874896
361	0.295362405
362	0.2950689848
363	0.2947212302
364	0.294210332
365	0.2941563338
366	0.2936991923
367	0.2933586402
368	0.2932087976
369	0.2929353304
370	0.2926219888
371	0.2921677847
372	0.2918635196
373	0.2915527288
374	0.2913727121
375	0.2909619296
376	0.2908549529
377	0.2906982217
378	0.2901845359
379	0.2898890982
380	0.2897597277
381	0.2893780321
382	0.2890087058
383	0.2887178768
384	0.2884852773
385	0.2881984679
386	0.288054414
387	0.2878983424
388	0.287644309
389	0.2873590668
390	0.2871036924
391	0.2869017477
392	0.2865472028
393	0.2863364274
394	0.2861954303
395	0.2858766057
396	0.2855611966
397	0.2855317274
398	0.2853858587
399	0.2849732706
400	0.284781508
401	0.2846773444
402	0.2844619386
403	0.2840457588
404	0.2835848459
405	0.2834252941
406	0.2832331724
407	0.2829607368
408	0.2828245815
409	0.2824190318
410	0.2820741879
411	0.2817185866
412	0.2815211367
413	0.2812088451
414	0.2811204427
415	0.2807444754
416	0.280404978
417	0.2801700834
418	0.2800246389
419	0.2798861339
420	0.2798076699
421	0.2795160007
422	0.2792807441
423	0.2789966651
424	0.2787959929
425	0.2784502567
426	0.278268849
427	0.2778564323
428	0.2777227069
429	0.2776726458
430	0.2775205624
431	0.2773687897
432	0.2769894394
433	0.27679047
434	0.2765594056
435	0.2759818998
436	0.2758100378
437	0.2753620359
438	0.2751735605
439	0.2749461772
440	0.2746865218
441	0.2741641772
442	0.2739981524
443	0.273691894
444	0.2734692202
445	0.2732955028
446	0.2731506457
447	0.2728866947
448	0.2726907556
449	0.2724974574
450	0.2723946201
451	0.271899209
452	0.2718552893
453	0.2715541141
454	0.2710554675
455	0.2709451009
456	0.2707876323
457	0.270510815
458	0.2701993518
459	0.2698769606
460	0.2697073616
461	0.2695062322
462	0.2693027265
463	0.269063498
464	0.2685980461
465	0.2685106935
466	0.2683496365
467	0.2681752421
468	0.2677392693
469	0.2676331157
470	0.2672639488
471	0.266945562
472	0.2665484349
473	0.2662787166
474	0.2662404434
475	0.265728563
476	0.2654306866
477	0.2651429601
478	0.2649856748
479	0.2647150301
480	0.2644681626
481	0.2641889286
482	0.2638712933
483	0.2634925568
484	0.2633243311
485	0.2632403362
486	0.2629800682
487	0.2627646958
488	0.2625015775
489	0.2622031956
490	0.26201849
491	0.2618552208
492	0.2615572251
493	0.2613626509
494	0.2612556086
495	0.2611443466
496	0.2610276569
497	0.2607769855
498	0.2605956313
499	0.2605398669
