iter	Logloss
0	0.6576013467
1	0.6259479738
2	0.5980885767
3	0.5740661727
4	0.5564524848
5	0.5407915434
6	0.5229080611
7	0.5072259626
8	0.493825606
9	0.4815385988
10	0.4732751015
11	0.4658534881
12	0.4571694412
13	0.4510732066
14	0.4438366919
15	0.4387276426
16	0.4330923082
17	0.4295534336
18	0.4244784098
19	0.4209881564
20	0.418516373
21	0.4147986178
22	0.4112980516
23	0.4089315651
24	0.406500644
25	0.4049624586
26	0.4033352742
27	0.4022642256
28	0.4007541166
29	0.3983780556
30	0.3968028967
31	0.3960057515
32	0.3948482924
33	0.3935044387
34	0.392485579
35	0.3915867356
36	0.3903798782
37	0.3895796334
38	0.3887530036
39	0.3878153848
40	0.3870078436
41	0.3860546736
42	0.3850644783
43	0.3849107303
44	0.3841765756
45	0.383104798
46	0.3823638356
47	0.3822217787
48	0.3819794555
49	0.3813060262
50	0.3807929064
51	0.38069526
52	0.3799371929
53	0.3792489772
54	0.3791550629
55	0.3785309046
56	0.3780781148
57	0.3778212587
58	0.3771510498
59	0.3768546638
60	0.3760088278
61	0.3759696168
62	0.3751294146
63	0.3745982675
64	0.3745188828
65	0.3741342086
66	0.3731160486
67	0.3727976461
68	0.3724798203
69	0.3721970155
70	0.3717600862
71	0.3712756599
72	0.371015381
73	0.3704367554
74	0.3701922638
75	0.3698336552
76	0.3695197402
77	0.3695187826
78	0.3694445655
79	0.3690853521
80	0.3688977656
81	0.3685143015
82	0.3681957166
83	0.3676099673
84	0.3674308319
85	0.3670450303
86	0.3667679753
87	0.3666048236
88	0.3663470493
89	0.3663341421
90	0.3659376033
91	0.3659288721
92	0.3654927397
93	0.3653752401
94	0.364968437
95	0.3649065244
96	0.3646647575
97	0.3642767195
98	0.3641320865
99	0.3635707958
100	0.3634683997
101	0.3633431835
102	0.363218151
103	0.363202504
104	0.3627225386
105	0.3626660932
106	0.3626158436
107	0.3624102279
108	0.3619737505
109	0.3619736171
110	0.3614672492
111	0.3613350498
112	0.3611485725
113	0.3611274831
114	0.3610287473
115	0.3606895301
116	0.3606742248
117	0.3603022047
118	0.3600982664
119	0.3598230953
120	0.359523392
121	0.3593796865
122	0.3592526029
123	0.3588952871
124	0.3585539531
125	0.3583230953
126	0.3579862128
127	0.3578608883
128	0.3574675201
129	0.357064029
130	0.3568444595
131	0.3566850888
132	0.3561672312
133	0.3559621637
134	0.3556706516
135	0.3554311153
136	0.3550720845
137	0.3546693467
138	0.3546628703
139	0.3541461999
140	0.3538132394
141	0.3536103845
142	0.3535975789
